,,,,,Xist,,,,Tsix,,,,Ddx3x,,,,Ddx3y,,,,Eif1ax,,,,Ezh2,,,,Ftx,,,,Jpx,,,,,,,,,Kdm6a,,,,Pcgf3,,,,Pcgf5,,,,Rlim,,,,Rps4x,,,,Spen,,,,Suz12,,,,Usp9x,,,,Usp9y,,,
Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction
adipose tissue,    female,5364,2.20%,female,2.732866984,0.349248921,4524,84.34%,1.895461546,0.132043761,1058,19.72%,1.915468786,0.137233214,961,17.92%,1.850783825,0.120455311,1,0.02%,1.754903581,0.095586015,54,1.01%,1.990403271,0.156669626,378,7.05%,1.890055931,0.13064166,618,11.52%,1.84826732,0.119802583,255,4.75%,Kdm5c,1.967109339,0.150627675,1097,20.45%,2.02633552,0.165989687,2097,39.09%,1.854922235,0.121528726,414,7.72%,2.035564871,0.168383584,757,14.11%,1.849939707,0.120236365,444,8.28%,2.587530954,0.311551846,126,2.35%,1.943405571,0.144479422,909,16.95%,1.923988579,0.139443067,741,13.81%,1.995923355,0.158101418,1844,34.38%,2.273552179,0.23011243,4,0.07%
adipose tissue,contractile cell,781,0.08%,aggregated,2.530653843,0.296799133,172,22.02%,2.017806117,0.163777341,30,3.84%,1.990695385,0.156745394,141,18.05%,1.966285963,0.150414109,89,11.40%,1.931844076,0.141480616,30,3.84%,2.065722828,0.176205917,71,9.09%,1.996005104,0.158122622,84,10.76%,1.985200105,0.155320035,27,3.46%,Kdm5c,1.962765729,0.149501035,108,13.83%,2.057646598,0.174111114,193,24.71%,2.024337064,0.16547133,65,8.32%,2.021703832,0.164788325,68,8.71%,2.070526525,0.177451893,76,9.73%,2.201303959,0.211372778,8,1.02%,2.013556072,0.16267497,112,14.34%,1.958591,0.148418199,91,11.65%,2.066817979,0.176489976,236,30.22%,,,,0.00%
adipose tissue,    male,553,,male,,,,0.00%,,,,0.00%,1.920321585,0.138491927,87,15.73%,1.966285963,0.150414109,89,16.09%,1.938897353,0.143310086,26,4.70%,2.03450791,0.168109431,48,8.68%,1.944577853,0.144783487,48,8.68%,1.97621994,0.152990771,15,2.71%,Kdm5c,1.890543292,0.130768071,62,11.21%,2.002438015,0.159791182,117,21.16%,2.028828691,0.166636362,41,7.41%,1.997597364,0.15853562,49,8.86%,2.069843359,0.177274695,57,10.31%,2.2071956,0.212900945,6,1.08%,2.004034017,0.160205151,75,13.56%,1.900242996,0.133283968,60,10.85%,2.031484626,0.167325255,170,30.74%,,,,0.00%
adipose tissue,    female,228,0.08%,female,2.530653843,0.296799133,172,75.44%,2.017806117,0.163777341,30,13.16%,2.104075679,0.186153831,54,23.68%,,,,0.00%,1.885998011,0.129589122,4,1.75%,2.130866839,0.193102888,23,10.09%,2.064574771,0.175908135,36,15.79%,1.996425152,0.158231573,12,5.26%,Kdm5c,2.060109014,0.174749813,46,20.18%,2.142638759,0.196156273,76,33.33%,2.016663869,0.163481066,24,10.53%,2.083873146,0.180913723,19,8.33%,2.07257582,0.177983437,19,8.33%,2.183629036,0.206788279,2,0.88%,2.03285774,0.167681412,37,16.23%,2.07152262,0.17771026,31,13.60%,2.157827898,0.200096013,66,28.95%,,,,0.00%
adipose tissue,myeloid leukocyte,61233,2.65%,aggregated,2.727869652,0.34795272,5459,8.92%,1.892325593,0.131230362,1251,2.04%,1.986704274,0.155710184,10146,16.57%,1.976928829,0.153174642,10338,16.88%,1.796948906,0.106491678,1361,2.22%,1.988435638,0.156159264,5288,8.64%,1.926494748,0.140093114,6025,9.84%,1.887017073,0.129853445,1906,3.11%,Kdm5c,1.940549088,0.143738511,8367,13.66%,1.984860539,0.155231959,13532,22.10%,1.891952663,0.131133632,5154,8.42%,1.979361138,0.153805531,6811,11.12%,1.912157505,0.136374338,7690,12.56%,2.270224274,0.229249242,378,0.62%,1.953859832,0.147191035,10839,17.70%,1.940256529,0.143662627,8781,14.34%,2.032041957,0.167469815,20430,33.36%,1.777012115,0.101320498,47,0.08%
adipose tissue,    male,54738,0.00%,male,1.927482605,0.140349343,4,0.01%,2.054838816,0.173382836,6,0.01%,1.998339398,0.158728088,8987,16.42%,1.976940957,0.153177788,10337,18.88%,1.799661165,0.10719518,1286,2.35%,1.989509113,0.1564377,4842,8.85%,1.931072346,0.141280446,5298,9.68%,1.89316184,0.131447267,1604,2.93%,Kdm5c,1.934356694,0.142132336,6999,12.79%,1.973902576,0.152389696,10929,19.97%,1.895646751,0.1320918,4646,8.49%,1.975530943,0.15281206,5860,10.71%,1.915844634,0.137330701,7099,12.97%,2.105359274,0.186486768,252,0.46%,1.9533212,0.147051325,9686,17.70%,1.943383245,0.144473631,7896,14.43%,2.035851834,0.168458016,18212,33.27%,1.738980611,0.091455935,42,0.08%
adipose tissue,    female,6495,2.65%,female,2.728456548,0.348104948,5455,83.99%,1.891542341,0.131027203,1245,19.17%,1.896483954,0.132308952,1159,17.84%,1.850783825,0.120455311,1,0.02%,1.750442912,0.094429012,75,1.15%,1.976781871,0.153136524,446,6.87%,1.893134913,0.131440282,727,11.19%,1.854380627,0.121388245,302,4.65%,Kdm5c,1.972230432,0.151955978,1368,21.06%,2.030869017,0.167165579,2603,40.08%,1.858168234,0.12237067,508,7.82%,2.002962291,0.159927168,951,14.64%,1.867868285,0.124886656,591,9.10%,2.59995403,0.314774128,126,1.94%,1.958384717,0.148364694,1153,17.75%,1.912358895,0.136426574,885,13.63%,2.00075928,0.159355754,2218,34.15%,2.096476173,0.18418268,5,0.08%
adipose tissue,mature alpha-beta T cell,1317,0.05%,aggregated,2.694967153,0.339418511,98,7.44%,2.179913112,0.205824448,28,2.13%,2.122266431,0.190872125,197,14.96%,2.220230449,0.216281907,88,6.68%,1.735341787,0.090512102,16,1.21%,2.391274085,0.260646989,78,5.92%,2.333663586,0.24570405,43,3.26%,2.397544225,0.26227333,12,0.91%,Kdm5c,2.279291789,0.231601163,90,6.83%,2.352018229,0.250464855,120,9.11%,2.218319738,0.215786309,43,3.26%,2.152958809,0.198833075,94,7.14%,2.134350524,0.194006481,49,3.72%,2.873790721,0.385801541,748,56.80%,2.227067225,0.218055222,103,7.82%,2.316781693,0.241325247,119,9.04%,2.259260506,0.226405474,116,8.81%,,,,0.00%
adipose tissue,    male,871,,male,,,,0.00%,,,,0.00%,2.181126147,0.206139083,113,12.97%,2.220230449,0.216281907,88,10.10%,1.631210501,0.063502661,11,1.26%,2.532240781,0.297210751,44,5.05%,2.335490942,0.246178028,32,3.67%,2.43975563,0.27322207,10,1.15%,Kdm5c,2.334455791,0.245909532,57,6.54%,2.400654093,0.263079963,75,8.61%,2.286317395,0.233423455,31,3.56%,2.1537282,0.199032639,67,7.69%,2.155592667,0.199516242,38,4.36%,2.932883523,0.401128957,451,51.78%,2.239085606,0.221172534,70,8.04%,2.29639559,0.236037525,86,9.87%,2.279734048,0.231715875,83,9.53%,,,,0.00%
adipose tissue,    female,446,0.05%,female,2.694967153,0.339418511,98,21.97%,2.179913112,0.205824448,28,6.28%,2.043085916,0.170334383,84,18.83%,,,,0.00%,1.964430428,0.149932822,5,1.12%,2.208846373,0.21332912,34,7.62%,2.32834764,0.244325207,11,2.47%,2.186487436,0.207529688,2,0.45%,Kdm5c,2.184008512,0.206886707,33,7.40%,2.270958794,0.229439761,45,10.09%,2.042659124,0.170223682,12,2.69%,2.15104972,0.198337898,27,6.05%,2.060968746,0.174972809,11,2.47%,2.784057001,0.362526523,297,66.59%,2.20157369,0.211442741,33,7.40%,2.369908882,0.255105309,33,7.40%,2.207765984,0.21304889,33,7.40%,,,,0.00%
