,,,,,Xist,,,,Tsix,,,,Ddx3x,,,,Ddx3y,,,,Eif1ax,,,,Ezh2,,,,Ftx,,,,Jpx,,,,,,,,,Kdm6a,,,,Pcgf3,,,,Pcgf5,,,,Rlim,,,,Rps4x,,,,Spen,,,,Suz12,,,,Usp9x,,,,Usp9y,,,
Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction,Expression,"Expression, Scaled",Number of Cells Expressing Genes,Fraction
brain,    female,573,0.02%,female,4.370847899,0.774106332,571,99.65%,2.338076274,0.246848608,96,16.75%,2.427359081,0.270006669,21,3.66%,2.117198944,0.189557726,3,0.52%,2.370098246,0.255154426,29,5.06%,2.305419119,0.238378036,76,13.26%,2.289779836,0.234321539,44,7.68%,2.417689984,0.267498711,13,2.27%,Kdm5c,2.547528104,0.301175958,217,37.87%,2.37764561,0.257112052,81,14.14%,2.264030457,0.227642698,31,5.41%,2.193183354,0.209266466,7,1.22%,2.341265488,0.247675822,40,6.98%,2.494862756,0.287515687,86,15.01%,2.331431422,0.245125075,29,5.06%,2.34690094,0.249137539,51,8.90%,2.359321182,0.252359085,74,12.91%,2.356575012,0.251646787,18,3.14%
brain,motor neuron,35,0.00%,aggregated,4.475747681,0.801315105,35,100.00%,1.756653976,0.09604003,10,28.57%,1.968556213,0.151002964,5,14.29%,,,,0.00%,1.871527481,0.125835774,5,14.29%,2.235482635,0.220238,25,71.43%,1.655891736,0.069904448,6,17.14%,1.576356411,0.049274677,1,2.86%,Kdm5c,1.786298275,0.103729131,16,45.71%,1.929965973,0.140993476,5,14.29%,1.521164894,0.034959171,2,5.71%,,,,0.00%,1.758412361,0.096496118,6,17.14%,1.94043329,0.143708475,18,51.43%,1.7371912,0.0909918,3,8.57%,1.738313198,0.091282822,8,22.86%,1.757412974,0.096236898,15,42.86%,,,,0.00%
brain,    unknown,35,0.00%,unknown,4.475747681,0.801315105,35,100.00%,1.756653976,0.09604003,10,28.57%,1.968556213,0.151002964,5,14.29%,,,,0.00%,1.871527481,0.125835774,5,14.29%,2.235482635,0.220238,25,71.43%,1.655891736,0.069904448,6,17.14%,1.576356411,0.049274677,1,2.86%,Kdm5c,1.786298275,0.103729131,16,45.71%,1.929965973,0.140993476,5,14.29%,1.521164894,0.034959171,2,5.71%,,,,0.00%,1.758412361,0.096496118,6,17.14%,1.94043329,0.143708475,18,51.43%,1.7371912,0.0909918,3,8.57%,1.738313198,0.091282822,8,22.86%,1.757412974,0.096236898,15,42.86%,,,,0.00%
brain,Purkinje cell,34660,0.42%,aggregated,3.459778551,0.537794321,15201,43.86%,2.21174603,0.214081229,2624,7.57%,1.882637565,0.128717493,889,2.56%,1.888902273,0.130342425,604,1.74%,1.929608338,0.140900713,899,2.59%,2.027794823,0.166368199,4265,12.31%,1.972481404,0.152021075,2276,6.57%,1.961494385,0.149171276,379,1.09%,Kdm5c,2.169801167,0.203201624,5825,16.81%,2.004473555,0.160319158,2107,6.08%,1.957502641,0.148135902,1590,4.59%,1.986275242,0.155598903,146,0.42%,1.974567734,0.152562224,1882,5.43%,2.026689195,0.166081423,2687,7.75%,1.927717629,0.140410303,1837,5.30%,1.966609984,0.150498153,1983,5.72%,1.982850028,0.154710475,4507,13.00%,2.030299188,0.167017778,621,1.79%
brain,    male,19234,0.00%,male,2.059152564,0.17450173,49,0.25%,,,,0.00%,1.756459079,0.095989478,493,2.56%,1.878157915,0.127555568,583,3.03%,1.780848991,0.102315702,442,2.30%,1.9344833,0.142165175,2312,12.02%,1.860496651,0.122974611,1119,5.82%,1.755002359,0.095611636,133,0.69%,Kdm5c,1.966889262,0.150570592,2048,10.65%,1.859080568,0.12260731,801,4.16%,1.833732938,0.116032673,803,4.17%,1.882395744,0.12865477,40,0.21%,1.830587561,0.11521683,854,4.44%,1.905009026,0.134520175,1373,7.14%,1.801146693,0.107580495,954,4.96%,1.837709641,0.117064146,1007,5.24%,1.897785565,0.132646563,2551,13.26%,1.969575129,0.151267248,238,1.24%
brain,    female,15426,0.42%,female,3.464308033,0.538969172,15152,98.22%,2.21174603,0.214081229,2624,17.01%,2.03972356,0.16946226,396,2.57%,2.187187558,0.207711284,21,0.14%,2.073484993,0.178219257,457,2.96%,2.138259099,0.195020283,1953,12.66%,2.08078818,0.180113549,1157,7.50%,2.073134508,0.178128349,246,1.59%,Kdm5c,2.279825879,0.231739694,3777,24.48%,2.093646623,0.183448755,1306,8.47%,2.083788628,0.180891801,787,5.10%,2.02547498,0.165766481,106,0.69%,2.094177721,0.183586511,1028,6.66%,2.153832748,0.199059756,1314,8.52%,2.064465844,0.175879882,883,5.72%,2.099604372,0.184994069,976,6.33%,2.093790316,0.183486026,1956,12.68%,2.068033801,0.176805334,383,2.48%
brain,central nervous system neuron,1964316,15.24%,aggregated,2.584908606,0.310871665,546043,27.80%,1.840862905,0.117882035,14009,0.71%,1.646828178,0.067553554,194419,9.90%,1.659970937,0.070962506,92643,4.72%,1.633720833,0.064153787,97156,4.95%,1.785877008,0.103619863,54294,2.76%,1.780029644,0.102103181,390895,19.90%,1.714578819,0.085126629,16499,0.84%,Kdm5c,1.837483715,0.117005545,143920,7.33%,1.807981326,0.109353253,132727,6.76%,1.705211879,0.082697044,46713,2.38%,1.694025795,0.079795612,75696,3.85%,1.739833664,0.091677199,48103,2.45%,1.915446909,0.13722754,832406,42.38%,1.76020323,0.096960631,91411,4.65%,1.790777339,0.104890905,102957,5.24%,1.700223826,0.081403249,376130,19.15%,1.784196705,0.103184028,5968,0.30%
brain,    male,1379495,0.53%,male,2.43824328,0.272829799,18909,1.37%,1.735883021,0.090652486,229,0.02%,1.634700334,0.064407849,104460,7.57%,1.661477001,0.071353147,89840,6.51%,1.633584154,0.064118336,62366,4.52%,1.771154607,0.099801185,38089,2.76%,1.779767864,0.102035281,253456,18.37%,1.718052563,0.086027645,10328,0.75%,Kdm5c,1.818040372,0.111962356,92139,6.68%,1.788376632,0.104268212,83095,6.02%,1.703031783,0.082131574,32686,2.37%,1.688732471,0.078422636,54337,3.94%,1.734979501,0.090418132,33531,2.43%,1.912057029,0.136348277,551137,39.95%,1.756775402,0.096071525,65206,4.73%,1.787946178,0.104156562,71328,5.17%,1.698027161,0.080833481,263776,19.12%,1.745769227,0.093216758,4243,0.31%
brain,    female,584821,14.71%,female,2.590169672,0.312236274,527134,90.14%,1.842607464,0.118334537,13780,2.36%,1.660910804,0.071206288,89959,15.38%,1.611697951,0.05844152,2803,0.48%,1.633965736,0.06421731,34790,5.95%,1.820481237,0.112595464,16205,2.77%,1.780512514,0.102228427,137439,23.50%,1.708765198,0.0836187,6171,1.06%,Kdm5c,1.872081308,0.125979425,51781,8.85%,1.840804099,0.117866782,49632,8.49%,1.710291842,0.084014679,14027,2.40%,1.707491938,0.083288443,21359,3.65%,1.751003235,0.094574348,14572,2.49%,1.922089041,0.138950367,281269,48.09%,1.76873241,0.099172919,26205,4.48%,1.797161896,0.106546923,31629,5.41%,1.705380844,0.08274087,112354,19.21%,1.878717165,0.127700625,1725,0.29%
brain,cerebellar neuron,537225,4.30%,aggregated,2.785131922,0.362805335,153983,28.66%,1.874500879,0.12660701,11442,2.13%,1.733487822,0.090031222,34885,6.49%,1.76034,0.096996106,31233,5.81%,1.746868718,0.093501942,26241,4.88%,1.794559826,0.105872001,51562,9.60%,1.908035252,0.135305113,183605,34.18%,1.722864375,0.087275726,15503,2.89%,Kdm5c,1.894995354,0.131922841,115966,21.59%,1.835781593,0.116564051,118009,21.97%,1.753334939,0.095179142,34385,6.40%,1.783514161,0.103006991,39215,7.30%,1.774442079,0.100653886,39771,7.40%,1.795661003,0.106157623,30510,5.68%,1.780515069,0.10222909,82597,15.37%,1.8238882,0.113479158,88938,16.56%,1.840247901,0.117722516,133420,24.84%,1.799102636,0.10705031,5169,0.96%
brain,    male,371987,0.01%,male,1.872347292,0.126048416,355,0.10%,1.763378166,0.097784142,165,0.04%,1.728497665,0.088736882,20662,5.55%,1.763532974,0.097824296,30077,8.09%,1.744931934,0.092999582,17475,4.70%,1.779759197,0.102033033,36133,9.71%,1.901801346,0.133688171,123517,33.20%,1.721474665,0.086915265,10098,2.71%,Kdm5c,1.869784503,0.125383683,74891,20.13%,1.816828036,0.111647901,73034,19.63%,1.748503261,0.093925908,24295,6.53%,1.78407966,0.103153669,26360,7.09%,1.768045132,0.098994654,27749,7.46%,1.784483021,0.103258293,20012,5.38%,1.779841968,0.102054502,58032,15.60%,1.823225353,0.113307229,60969,16.39%,1.837264019,0.116948561,91758,24.67%,1.755989574,0.095867698,3679,0.99%
brain,    female,165238,4.29%,female,2.787241136,0.36335242,153628,92.97%,1.87612681,0.127028742,11277,6.82%,1.740737109,0.091911533,14223,8.61%,1.677263306,0.075447779,1156,0.70%,1.750729804,0.094503426,8766,5.31%,1.829221251,0.114862438,15429,9.34%,1.920849811,0.138628937,60088,36.36%,1.725460728,0.087949165,5405,3.27%,Kdm5c,1.940961465,0.143845473,41075,24.86%,1.866559721,0.124547243,44975,27.22%,1.76496899,0.098196768,10090,6.11%,1.78235472,0.102706256,12855,7.78%,1.789207254,0.104483658,12022,7.28%,1.816969415,0.111684572,10498,6.35%,1.782105352,0.102641576,24565,14.87%,1.825333126,0.113853941,27969,16.93%,1.846819531,0.119427057,41662,25.21%,1.905554445,0.134661645,1490,0.90%
brain,cerebellar granule cell,498583,3.83%,aggregated,2.708072433,0.342817742,137385,27.56%,1.774605356,0.100696236,8796,1.76%,1.729696997,0.089047963,33973,6.81%,1.758023273,0.096395197,30598,6.14%,1.740455434,0.091838473,25322,5.08%,1.773637159,0.100445107,47268,9.48%,1.908971514,0.13554796,179932,36.09%,1.716932563,0.08573714,15114,3.03%,Kdm5c,1.881278795,0.128365057,109829,22.03%,1.832894865,0.115815295,115815,23.23%,1.743514691,0.092631979,32776,6.57%,1.783274743,0.102944891,38971,7.82%,1.7647168,0.098131355,37841,7.59%,1.773436798,0.100393137,27810,5.58%,1.777295157,0.101393913,80708,16.19%,1.820909864,0.112706641,86866,17.42%,1.836459853,0.116739977,128191,25.71%,1.767614743,0.09888302,4547,0.91%
brain,    male,350176,0.01%,male,1.842433954,0.118289532,306,0.09%,1.76274909,0.097620973,164,0.05%,1.72790069,0.088582039,20159,5.76%,1.761497869,0.097296433,29463,8.41%,1.744060765,0.092773619,17022,4.86%,1.76929137,0.099317901,33806,9.65%,1.903762741,0.134196915,121601,34.73%,1.721119635,0.086823178,9960,2.84%,Kdm5c,1.867733748,0.12485176,72669,20.75%,1.816462462,0.111553079,72201,20.62%,1.745658521,0.093188043,23479,6.70%,1.784442858,0.103247875,26261,7.50%,1.766243812,0.09852743,26866,7.67%,1.775636312,0.100963644,18634,5.32%,1.77959492,0.101990423,57045,16.29%,1.823181786,0.113295929,59918,17.11%,1.836563147,0.11676677,88808,25.36%,1.741315407,0.092061532,3440,0.98%
brain,    female,148407,3.83%,female,2.710004815,0.343318961,137079,92.37%,1.774830618,0.100754664,8632,5.82%,1.732318379,0.089727894,13814,9.31%,1.667828611,0.07300062,1135,0.76%,1.733061465,0.089920634,8300,5.59%,1.784550378,0.103275763,13462,9.07%,1.919830231,0.13836448,58331,39.30%,1.708840941,0.083638346,5154,3.47%,Kdm5c,1.907766878,0.135235503,37160,25.04%,1.860097962,0.1228712,43614,29.39%,1.73810058,0.091227674,9297,6.26%,1.780860912,0.102318794,12710,8.56%,1.760978609,0.097161748,10975,7.40%,1.768970174,0.09923459,9176,6.18%,1.771751389,0.099955978,23663,15.94%,1.81585861,0.111396453,26948,18.16%,1.836226727,0.116679509,39383,26.54%,1.849339872,0.12008078,1107,0.75%
brain,Cajal-Retzius cell,315,0.00%,aggregated,2.255290731,0.225375799,75,23.81%,1.623391151,0.061474488,2,0.63%,1.773511887,0.100412614,34,10.79%,1.83710245,0.116906653,26,8.25%,1.703298024,0.082200631,7,2.22%,1.621195555,0.060904997,2,0.63%,1.805061939,0.108596026,51,16.19%,,,,0.00%,Kdm5c,1.756801204,0.096078218,19,6.03%,1.739111304,0.091489834,8,2.54%,2.143125216,0.19628245,3,0.95%,1.600738525,0.055598878,1,0.32%,1.653124332,0.069186643,4,1.27%,2.625416449,0.321378538,277,87.94%,1.504446348,0.030622736,3,0.95%,2.006125927,0.160747748,8,2.54%,1.807161059,0.109140493,56,17.78%,,,,0.00%
brain,    male,242,0.00%,male,2.250786534,0.224207506,27,11.16%,1.799509645,0.107155879,1,0.41%,1.863145065,0.123661554,20,8.26%,1.83710245,0.116906653,26,10.74%,1.628580332,0.062820451,4,1.65%,,,,0.00%,1.790163676,0.104731734,36,14.88%,,,,0.00%,Kdm5c,1.801167121,0.107585793,13,5.37%,1.695829233,0.080263385,6,2.48%,2.327554226,0.244119412,2,0.83%,,,,0.00%,1.60221386,0.055981549,3,1.24%,2.644631359,0.326362477,214,88.43%,1.538028002,0.039333102,2,0.83%,2.032008934,0.16746125,5,2.07%,1.824987533,0.113764301,47,19.42%,,,,0.00%
brain,    female,73,0.00%,female,2.257824262,0.226032943,48,65.75%,1.447272778,0.015793127,1,1.37%,1.645464488,0.067199842,14,19.18%,,,,0.00%,1.802921772,0.108040912,3,4.11%,1.621195555,0.060904997,2,2.74%,1.840817769,0.117870328,15,20.55%,,,,0.00%,Kdm5c,1.660675049,0.071145138,6,8.22%,1.86895752,0.125169181,2,2.74%,1.774267435,0.100608587,1,1.37%,1.600738525,0.055598878,1,1.37%,1.80585587,0.108801955,1,1.37%,2.560146271,0.304448842,63,86.30%,1.437282801,0.01320194,1,1.37%,1.962987264,0.149558497,3,4.11%,1.714067141,0.084993911,9,12.33%,,,,0.00%
brain,cerebral cortex neuron,1415635,10.92%,aggregated,2.503606399,0.289783602,391405,27.65%,1.665782564,0.072469919,2468,0.17%,1.627727077,0.062599135,159351,11.26%,1.608410282,0.057588769,61344,4.33%,1.591393326,0.053174932,70846,5.00%,1.578877913,0.049928701,2502,0.18%,1.666081673,0.072547501,203510,14.38%,1.552464011,0.043077496,398,0.03%,Kdm5c,1.587987601,0.05229156,27270,1.93%,1.577290993,0.049517087,13920,0.98%,1.567358424,0.04694079,12213,0.86%,1.597380964,0.054727998,35588,2.51%,1.566996039,0.046846795,8216,0.58%,1.919681996,0.138326031,801405,56.61%,1.564551692,0.046212783,8471,0.60%,1.575231518,0.048982903,13783,0.97%,1.622910594,0.061349841,240843,17.01%,1.66215635,0.071529356,764,0.05%
brain,    male,1006567,0.52%,male,2.449344234,0.27570915,18522,1.84%,1.662861536,0.071712266,63,0.01%,1.611390232,0.058361705,83745,8.32%,1.60961474,0.05790118,59700,5.93%,1.590014147,0.052817203,44863,4.46%,1.580166089,0.050262826,1854,0.18%,1.663505246,0.071879231,129850,12.90%,1.549474198,0.042302002,217,0.02%,Kdm5c,1.587278967,0.052107755,17093,1.70%,1.577160275,0.049483182,9982,0.99%,1.568542897,0.047248017,8349,0.83%,1.598784651,0.055092085,27971,2.78%,1.570699887,0.047807494,5730,0.57%,1.916541344,0.137511413,530795,52.73%,1.567190655,0.046897274,7120,0.71%,1.576579969,0.049332663,10297,1.02%,1.623368193,0.061468533,171857,17.07%,1.664763402,0.07220557,548,0.05%
brain,    female,409068,10.41%,female,2.506301742,0.290482716,372883,91.15%,1.665859091,0.072489768,2405,0.59%,1.645822587,0.067292725,75606,18.48%,1.564672465,0.04624411,1644,0.40%,1.593774656,0.053792599,25983,6.35%,1.575192298,0.04897273,648,0.16%,1.670623367,0.07372552,73660,18.01%,1.556048483,0.044007232,181,0.04%,Kdm5c,1.589177611,0.052600223,10177,2.49%,1.57762246,0.049603063,3938,0.96%,1.564799244,0.046276993,3864,0.94%,1.592226116,0.053390941,7617,1.86%,1.558459011,0.044632472,2486,0.61%,1.925842541,0.139923945,270610,66.15%,1.550643729,0.042605354,1351,0.33%,1.571248302,0.047949742,3486,0.85%,1.621770744,0.061054189,68986,16.86%,1.655542444,0.069813849,216,0.05%
brain,hippocampal neuron,63766,0.43%,aggregated,3.257243955,0.485261155,15452,24.23%,1.702133123,0.081898481,1658,2.60%,1.665220589,0.072324154,8118,12.73%,1.64493009,0.06706123,4553,7.14%,1.621559491,0.060999394,3401,5.33%,1.608758724,0.057679147,443,0.69%,1.750915484,0.094551587,18435,28.91%,1.571679969,0.048061707,152,0.24%,Kdm5c,1.647434042,0.067710702,3758,5.89%,1.611230439,0.058320258,1632,2.56%,1.610314451,0.05808267,1171,1.84%,1.611364592,0.058355054,713,1.12%,1.606225651,0.057022122,748,1.17%,2.223191009,0.217049814,55333,86.78%,1.580245276,0.050283366,417,0.65%,1.605868653,0.056929524,1884,2.95%,1.666600906,0.072682179,9524,14.94%,1.733163595,0.089947125,32,0.05%
brain,    male,46797,0.00%,male,1.453385512,0.017378641,3,0.01%,,,,0.00%,1.659803886,0.070919177,5069,10.83%,1.645938732,0.067322851,4469,9.55%,1.621012054,0.0608574,2576,5.50%,1.609188878,0.05779072,344,0.74%,1.749775887,0.094256,13909,29.72%,1.562440267,0.045665125,82,0.18%,Kdm5c,1.642915041,0.066538569,2571,5.49%,1.609778566,0.057943673,1098,2.35%,1.604753226,0.056640206,838,1.79%,1.607327967,0.057308039,570,1.22%,1.608657752,0.057652957,539,1.15%,2.234041852,0.219864291,41695,89.10%,1.574781533,0.048866187,315,0.67%,1.60955876,0.05788666,1399,2.99%,1.667259112,0.072852904,7083,15.14%,1.687548596,0.078115564,23,0.05%
brain,    female,16969,0.43%,female,3.257594292,0.485352025,15449,91.04%,1.702133123,0.081898481,1658,9.77%,1.674225924,0.074659947,3049,17.97%,1.591270265,0.053143013,84,0.50%,1.623268821,0.061442758,825,4.86%,1.607264201,0.0572915,99,0.58%,1.754417618,0.095459967,4526,26.67%,1.58250351,0.050869103,70,0.41%,Kdm5c,1.657222038,0.0702495,1187,7.00%,1.614215637,0.059094554,534,3.15%,1.624309368,0.061712654,333,1.96%,1.627454531,0.062528442,143,0.84%,1.599953537,0.055395269,209,1.23%,2.190016951,0.208445168,13638,80.37%,1.597118602,0.054659947,102,0.60%,1.595224282,0.054168601,485,2.86%,1.664690805,0.072186739,2441,14.39%,1.849735048,0.12018328,9,0.05%
brain,cerebral cortex pyramidal neuron,124718,0.91%,aggregated,2.226481956,0.217903415,32591,26.13%,1.59713659,0.054664613,31,0.02%,1.580540746,0.050360004,9267,7.43%,1.561489054,0.0454184,2968,2.38%,1.557138999,0.044290089,4983,4.00%,1.578705944,0.049884095,55,0.04%,1.613479472,0.058903609,17588,14.10%,1.539364052,0.039679645,10,0.01%,Kdm5c,1.552759206,0.043154063,1406,1.13%,1.547134583,0.041695156,664,0.53%,1.555182593,0.043782638,914,0.73%,1.582865519,0.050963001,3181,2.55%,1.53730834,0.039146437,381,0.31%,1.869127838,0.125213358,72402,58.05%,1.535740609,0.038739801,263,0.21%,1.543826135,0.040837015,422,0.34%,1.58624991,0.05184084,19118,15.33%,1.685736338,0.077645503,36,0.03%
brain,    male,89198,0.06%,male,2.182083971,0.206387522,2032,2.28%,1.540476799,0.039968268,5,0.01%,1.568282682,0.047180523,4966,5.57%,1.562722402,0.045738305,2920,3.27%,1.554488081,0.043602497,3139,3.52%,1.581526566,0.050615705,40,0.04%,1.61253308,0.058658135,11643,13.05%,1.503969056,0.030498936,7,0.01%,Kdm5c,1.561624598,0.045453557,864,0.97%,1.546355241,0.041493011,413,0.46%,1.560206119,0.045085634,657,0.74%,1.585437339,0.051630076,2836,3.18%,1.542211042,0.040418094,245,0.27%,1.85298865,0.121027196,48634,54.52%,1.539901033,0.039818927,218,0.24%,1.548422953,0.042029332,300,0.34%,1.584825761,0.051471446,13524,15.16%,1.667978867,0.073039593,23,0.03%
brain,    female,35520,0.85%,female,2.22943425,0.218669178,30559,86.03%,1.608032667,0.057490824,26,0.07%,1.594694094,0.054031081,4301,12.11%,1.486463865,0.025958462,48,0.14%,1.561651598,0.045460561,1844,5.19%,1.571184285,0.047933137,15,0.04%,1.615332935,0.059384358,5945,16.74%,1.621952534,0.061101341,3,0.01%,Kdm5c,1.538626808,0.03948842,542,1.53%,1.548417171,0.042027832,251,0.71%,1.54234023,0.040451603,257,0.72%,1.561724942,0.045479585,345,0.97%,1.528476154,0.036855556,136,0.38%,1.902151462,0.133778983,23768,66.91%,1.515585497,0.033511994,45,0.13%,1.532522733,0.037905153,122,0.34%,1.589693093,0.052733928,5594,15.75%,1.717153402,0.085794421,13,0.04%
brain,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,83902,0.71%,aggregated,2.257262746,0.225887298,25537,30.44%,1.593489811,0.053718716,29,0.03%,1.579264524,0.050028979,6490,7.74%,1.561330415,0.045377253,2154,2.57%,1.556329055,0.044080006,3255,3.88%,1.561421265,0.045400817,37,0.04%,1.613305557,0.058858499,14303,17.05%,1.544821421,0.041095171,9,0.01%,Kdm5c,1.552536742,0.043096361,1168,1.39%,1.54780064,0.041867917,513,0.61%,1.556489043,0.044121504,728,0.87%,1.54752869,0.041797379,507,0.60%,1.534321511,0.038371718,275,0.33%,1.886022866,0.129595569,57290,68.28%,1.53042754,0.037361704,131,0.16%,1.542865701,0.040587899,292,0.35%,1.587150579,0.052074454,11945,14.24%,1.709869385,0.083905102,29,0.03%
brain,    male,56455,0.03%,male,2.278669674,0.231439799,1007,1.78%,1.540476799,0.039968268,5,0.01%,1.568830468,0.047322607,3409,6.04%,1.562384318,0.045650613,2121,3.76%,1.553259816,0.043283911,1971,3.49%,1.584347195,0.051347316,27,0.05%,1.612774319,0.058720707,9399,16.65%,1.506255786,0.031092065,6,0.01%,Kdm5c,1.564559892,0.04621491,686,1.22%,1.545594911,0.041295798,296,0.52%,1.562340388,0.045639218,517,0.92%,1.552644628,0.043124344,355,0.63%,1.541661134,0.04027546,171,0.30%,1.871125159,0.12573142,38056,67.41%,1.540169456,0.03988855,88,0.16%,1.548491607,0.042047139,185,0.33%,1.584695245,0.051437593,7737,13.70%,1.695721275,0.080235383,19,0.03%
brain,    female,27447,0.68%,female,2.256383924,0.22565935,24530,89.37%,1.604534149,0.056583382,24,0.09%,1.590809377,0.053023469,3081,11.23%,1.493593389,0.027807709,33,0.12%,1.561040575,0.045302074,1284,4.68%,1.499521351,0.029345296,10,0.04%,1.614323726,0.059122591,4904,17.87%,1.621952534,0.061101341,3,0.01%,Kdm5c,1.535424957,0.038657928,482,1.76%,1.550809517,0.042648356,217,0.79%,1.542151862,0.040402744,211,0.77%,1.535580384,0.038698242,152,0.55%,1.522253477,0.035241526,104,0.38%,1.915498962,0.137241041,19234,70.08%,1.510490595,0.032190485,43,0.16%,1.53313881,0.03806495,107,0.39%,1.591665174,0.053245444,4208,15.33%,1.736750603,0.090877518,10,0.04%
brain,L5 extratelencephalic projecting glutamatergic cortical neuron,40816,0.20%,aggregated,2.115049418,0.189000185,7054,17.28%,1.650015593,0.068380302,2,0.00%,1.583523347,0.051133627,2777,6.80%,1.561908994,0.045527324,814,1.99%,1.558664675,0.044685817,1728,4.23%,1.61423556,0.059099722,18,0.04%,1.614236408,0.059099942,3285,8.05%,1.490248442,0.026940101,1,0.00%,Kdm5c,1.553850959,0.043437241,238,0.58%,1.544871956,0.041108278,151,0.37%,1.550069173,0.042456326,186,0.46%,1.589565463,0.052700824,2674,6.55%,1.545057045,0.041156287,106,0.26%,1.805078332,0.108600278,15112,37.02%,1.541013544,0.040107489,132,0.32%,1.545983535,0.041396598,130,0.32%,1.58475005,0.051451808,7173,17.57%,1.585756574,0.051712879,7,0.02%
brain,    male,32743,0.03%,male,2.087194407,0.181775188,1025,3.13%,,,,0.00%,1.567083164,0.046869393,1557,4.76%,1.563619869,0.045971088,799,2.44%,1.556560882,0.044140137,1168,3.57%,1.575668482,0.049096242,13,0.04%,1.611522328,0.058395967,2244,6.85%,1.490248442,0.026940101,1,0.00%,Kdm5c,1.550312514,0.042519443,178,0.54%,1.548278678,0.04199191,117,0.36%,1.552324786,0.043041384,140,0.43%,1.590129516,0.052847127,2481,7.58%,1.543481775,0.040747695,74,0.23%,1.787739922,0.104103063,10578,32.31%,1.53971945,0.039771828,130,0.40%,1.548312511,0.042000685,115,0.35%,1.585000257,0.051516706,5787,17.67%,1.536202312,0.038859557,4,0.01%
brain,    female,8073,0.17%,female,2.119785134,0.190228529,6029,74.68%,1.650015593,0.068380302,2,0.02%,1.604504695,0.056575743,1220,15.11%,1.470779165,0.021890184,15,0.19%,1.563052586,0.045823947,560,6.94%,1.714509964,0.08510877,5,0.06%,1.620087051,0.060617474,1041,12.89%,,,,0.00%,Kdm5c,1.564348221,0.046160007,60,0.74%,1.533148709,0.038067518,34,0.42%,1.543204432,0.040675758,46,0.57%,1.582315554,0.050820351,193,2.39%,1.548699975,0.042101185,32,0.40%,1.845529308,0.119092401,4534,56.16%,1.625126004,0.061924472,2,0.02%,1.528128433,0.036765365,15,0.19%,1.583705709,0.051180928,1386,17.17%,1.651829084,0.068850683,3,0.04%
brain,L5/6 near-projecting glutamatergic neuron,33465,0.38%,aggregated,2.325769272,0.243656433,13632,40.74%,1.536125183,0.038839552,31,0.09%,1.649662845,0.068288806,6732,20.12%,1.632844601,0.063926512,3392,10.14%,1.609728207,0.057930611,2910,8.70%,1.563770892,0.04601026,166,0.50%,1.661117739,0.071259962,7256,21.68%,1.453990698,0.017535613,2,0.01%,Kdm5c,1.59066077,0.052984923,1391,4.16%,1.594968207,0.054102181,538,1.61%,1.561214871,0.045347283,468,1.40%,1.618134931,0.060111136,2355,7.04%,1.575946951,0.049168471,559,1.67%,1.960788835,0.148988271,28509,85.19%,1.590502634,0.052943906,454,1.36%,1.582243086,0.050801555,888,2.65%,1.669296909,0.073381465,11435,34.17%,1.695741242,0.080240562,51,0.15%
brain,    male,33465,0.01%,male,2.238598227,0.221046118,481,1.44%,1.769607544,0.09939991,1,0.00%,1.625655507,0.062061813,3244,9.69%,1.634957848,0.064474643,3287,9.82%,1.611265714,0.058329407,1819,5.44%,1.568351932,0.047198485,123,0.37%,1.656304391,0.070011482,4327,12.93%,1.393158436,0.001757018,1,0.00%,Kdm5c,1.592424514,0.053442401,805,2.41%,1.599900315,0.055381465,343,1.02%,1.564353123,0.046161279,307,0.92%,1.623558685,0.061517942,1847,5.52%,1.585828297,0.051731482,370,1.11%,1.949701644,0.146112489,17675,52.82%,1.594910761,0.05408728,391,1.17%,1.589501103,0.05268413,689,2.06%,1.673578712,0.074492074,8242,24.63%,1.728062439,0.088623994,35,0.10%
